Iteration,Total SSR Count,Source,Genome Size,SSR Density
3,34,Micrococcus Luteus,2495693,0.013623470515003247
4,38,Micrococcus Luteus,2495693,0.015226231752062452
5,37,Micrococcus Luteus,2495693,0.01482554144279765
6,37,Micrococcus Luteus,2495693,0.01482554144279765
7,36,Micrococcus Luteus,2495693,0.014424851133532849
8,38,Micrococcus Luteus,2495693,0.015226231752062452
9,40,Micrococcus Luteus,2495693,0.016027612370592054
10,37,Micrococcus Luteus,2495693,0.01482554144279765
11,36,Micrococcus Luteus,2495693,0.014424851133532849
12,40,Micrococcus Luteus,2495693,0.016027612370592054
13,37,Micrococcus Luteus,2495693,0.01482554144279765
14,33,Micrococcus Luteus,2495693,0.013222780205738445
15,42,Micrococcus Luteus,2495693,0.016828992989121657
16,37,Micrococcus Luteus,2495693,0.01482554144279765
17,35,Micrococcus Luteus,2495693,0.014024160824268047
18,35,Micrococcus Luteus,2495693,0.014024160824268047
19,36,Micrococcus Luteus,2495693,0.014424851133532849
20,37,Micrococcus Luteus,2495693,0.01482554144279765
21,40,Micrococcus Luteus,2495693,0.016027612370592054
22,37,Micrococcus Luteus,2495693,0.01482554144279765
23,35,Micrococcus Luteus,2495693,0.014024160824268047
24,35,Micrococcus Luteus,2495693,0.014024160824268047
25,40,Micrococcus Luteus,2495693,0.016027612370592054
26,39,Micrococcus Luteus,2495693,0.015626922061327254
27,35,Micrococcus Luteus,2495693,0.014024160824268047
28,35,Micrococcus Luteus,2495693,0.014024160824268047
29,38,Micrococcus Luteus,2495693,0.015226231752062452
30,40,Micrococcus Luteus,2495693,0.016027612370592054
31,40,Micrococcus Luteus,2495693,0.016027612370592054
32,37,Micrococcus Luteus,2495693,0.01482554144279765
33,36,Micrococcus Luteus,2495693,0.014424851133532849
34,37,Micrococcus Luteus,2495693,0.01482554144279765
35,34,Micrococcus Luteus,2495693,0.013623470515003247
36,36,Micrococcus Luteus,2495693,0.014424851133532849
37,37,Micrococcus Luteus,2495693,0.01482554144279765
38,39,Micrococcus Luteus,2495693,0.015626922061327254
39,36,Micrococcus Luteus,2495693,0.014424851133532849
40,38,Micrococcus Luteus,2495693,0.015226231752062452
41,37,Micrococcus Luteus,2495693,0.01482554144279765
42,35,Micrococcus Luteus,2495693,0.014024160824268047
43,38,Micrococcus Luteus,2495693,0.015226231752062452
44,38,Micrococcus Luteus,2495693,0.015226231752062452
45,35,Micrococcus Luteus,2495693,0.014024160824268047
46,40,Micrococcus Luteus,2495693,0.016027612370592054
47,40,Micrococcus Luteus,2495693,0.016027612370592054
48,38,Micrococcus Luteus,2495693,0.015226231752062452
49,36,Micrococcus Luteus,2495693,0.014424851133532849
50,36,Micrococcus Luteus,2495693,0.014424851133532849
